,date,Last,high,low,open,volume
406,2019-07-11 00:00:00+05:30,467.8,470.9,452.75,459.75,1728011
407,2019-07-12 00:00:00+05:30,481.75,485,469.1,471,2266998
408,2019-07-15 00:00:00+05:30,491.1,494.5,482.1,482.15,2167991
409,2019-07-16 00:00:00+05:30,491.05,498.45,481.7,493.4,2191685
410,2019-07-17 00:00:00+05:30,497.15,503.8,486.6,492.3,2760727
411,2019-07-18 00:00:00+05:30,503.55,510.5,497.5,498.8,3115748
412,2019-07-19 00:00:00+05:30,487.6,509.45,485,506,2396384
413,2019-07-22 00:00:00+05:30,490.65,497.8,479.05,485.85,2024584
414,2019-07-23 00:00:00+05:30,508.55,511.55,481.4,491,10256139
415,2019-07-24 00:00:00+05:30,499.55,533,497,511.9,7088915
416,2019-07-25 00:00:00+05:30,501.2,510.7,498.2,498.85,2630537
417,2019-07-26 00:00:00+05:30,499.1,508,495.1,504.7,1706982
418,2019-07-29 00:00:00+05:30,485.35,502.7,478.4,499.8,2481978
419,2019-07-30 00:00:00+05:30,483.1,491.8,475.1,487.1,2274640
420,2019-07-31 00:00:00+05:30,493.5,495.5,477.25,481.2,1798489
421,2019-08-01 00:00:00+05:30,487.95,502,481.1,493,2626100
422,2019-08-02 00:00:00+05:30,494.35,498.35,480.4,488.95,2215370
423,2019-08-05 00:00:00+05:30,487.15,494.5,483.3,491.5,2996132
424,2019-08-06 00:00:00+05:30,512.1,518,485.05,485.05,5029677
425,2019-08-07 00:00:00+05:30,518.1,524.8,511.1,517,4417521
426,2019-08-08 00:00:00+05:30,522.9,545.55,516.3,541.4,10168512
427,2019-08-09 00:00:00+05:30,526.75,535.4,524.3,524.3,2861762
428,2019-08-13 00:00:00+05:30,519.35,537,516,529.7,3543626
429,2019-08-14 00:00:00+05:30,517,540.55,481.25,487.5,31957442
430,2019-08-16 00:00:00+05:30,540.15,543,513.6,515,11397991
431,2019-08-19 00:00:00+05:30,524.55,560,520,545.7,13762429
432,2019-08-20 00:00:00+05:30,527.9,532.9,516.6,526,10083216
433,2019-08-21 00:00:00+05:30,530.7,539,525.1,530,6505412
434,2019-08-22 00:00:00+05:30,528.45,538.35,525.4,533.95,5344682
435,2019-08-23 00:00:00+05:30,517.2,531.8,512.75,530,4611285
436,2019-08-26 00:00:00+05:30,526.4,536.8,517.1,529.75,4813908
437,2019-08-27 00:00:00+05:30,555.2,569.75,534,535,94765364
438,2019-08-28 00:00:00+05:30,547.7,557.4,538.1,556.9,7523593
439,2019-08-29 00:00:00+05:30,541.7,549.75,540,544.25,2790568
440,2019-08-30 00:00:00+05:30,557.15,559.4,542,542,4299020
441,2019-09-03 00:00:00+05:30,536.75,556.95,535,551.4,4903625
442,2019-09-04 00:00:00+05:30,535.65,542.8,528.6,539,2330167
443,2019-09-05 00:00:00+05:30,528.5,547.4,527,538.8,3656775
444,2019-09-06 00:00:00+05:30,529.9,536,528,531.9,1641066
445,2019-09-09 00:00:00+05:30,530.9,539.75,529.3,534,3086676
446,2019-09-11 00:00:00+05:30,537.9,540.5,533,533.7,2505388
447,2019-09-12 00:00:00+05:30,537.85,545.9,536.2,539.95,1990091
448,2019-09-13 00:00:00+05:30,540.4,543,532.85,538.7,1414823
449,2019-09-16 00:00:00+05:30,537.65,540,533.55,537,1320333
450,2019-09-17 00:00:00+05:30,530.7,538.6,524.1,538.6,1952479
451,2019-09-18 00:00:00+05:30,539.1,540,533,533.85,1460223
452,2019-09-19 00:00:00+05:30,532.45,540.7,529.1,540.7,1092159
453,2019-09-20 00:00:00+05:30,563.85,567,536,536,8964556
454,2019-09-23 00:00:00+05:30,540.75,566.7,540,564,5216335
455,2019-09-24 00:00:00+05:30,551.05,554.95,540.15,541.1,2548423
456,2019-09-25 00:00:00+05:30,557.85,562.7,550.1,551.8,3790845
457,2019-09-26 00:00:00+05:30,569.3,577,556.4,556.9,4460160
458,2019-09-27 00:00:00+05:30,582.3,585.6,567.1,567.1,3937172
459,2019-09-30 00:00:00+05:30,601.15,609,585,585,5522478
460,2019-10-01 00:00:00+05:30,598.2,608,590.35,604.2,3176809
461,2019-10-03 00:00:00+05:30,592.9,597.85,575.5,596.3,3634620
462,2019-10-04 00:00:00+05:30,584.45,594.7,582.05,593.25,2889488
463,2019-10-07 00:00:00+05:30,575.45,584.5,572.05,584.5,3237005
464,2019-10-09 00:00:00+05:30,580.5,586.75,573.7,575.2,1579192
465,2019-10-10 00:00:00+05:30,583.8,589,575,577.5,1556208
466,2019-10-11 00:00:00+05:30,590.65,599.7,584,585,4147792
467,2019-10-14 00:00:00+05:30,582.3,589.7,580,586,1659110
468,2019-10-15 00:00:00+05:30,592.75,595.85,580.6,581,1429097
469,2019-10-16 00:00:00+05:30,610.6,615.85,594,594.8,3769552
470,2019-10-17 00:00:00+05:30,615.15,622,610,612.95,2893199
471,2019-10-18 00:00:00+05:30,608.45,616.5,607,615.7,1922910
472,2019-10-22 00:00:00+05:30,611.3,624.25,605.5,609.95,2673829
473,2019-10-23 00:00:00+05:30,607.85,625.9,601,614.8,5606504
474,2019-10-24 00:00:00+05:30,615.35,618.9,607.6,609.9,2865137
475,2019-10-25 00:00:00+05:30,610.5,619.8,608.1,617.4,1982250
476,2019-10-27 00:00:00+05:30,619.65,622,612.35,614.9,890503
477,2019-10-29 00:00:00+05:30,610.75,621,609.1,620.85,2288088
478,2019-10-30 00:00:00+05:30,632.45,643.65,581.1,581.2,27156751
479,2019-10-31 00:00:00+05:30,626.2,646.4,622,636.9,4487728
480,2019-11-01 00:00:00+05:30,612.7,636,608.1,626,4002384
481,2019-11-04 00:00:00+05:30,593.3,615.7,588.4,612.5,12053809
482,2019-11-05 00:00:00+05:30,583.65,602,580.15,596,6170402
483,2019-11-06 00:00:00+05:30,584.95,590.9,580.1,584,3840924
484,2019-11-07 00:00:00+05:30,580.15,588.75,576.15,587.9,3217588
485,2019-11-08 00:00:00+05:30,567.9,585.2,566.5,580,3630548
486,2019-11-11 00:00:00+05:30,571,584,565,569.95,3419720
487,2019-11-13 00:00:00+05:30,589.15,593,572,572,6532837
488,2019-11-14 00:00:00+05:30,586.35,594.9,581.5,592.5,2663642
489,2019-11-15 00:00:00+05:30,577.5,588.35,576.1,588.35,1959586
490,2019-11-18 00:00:00+05:30,570.45,574.95,567.5,574.95,3112232
491,2019-11-19 00:00:00+05:30,570.7,577.5,565.6,571,3791275
492,2019-11-20 00:00:00+05:30,574.7,579.5,568.5,572,3822519
493,2019-11-21 00:00:00+05:30,589.25,592.35,573,576.4,3752775
494,2019-11-22 00:00:00+05:30,586.4,593.9,581.25,591.8,2275245
495,2019-11-25 00:00:00+05:30,597.8,599.85,585,585.85,3802000
496,2019-11-26 00:00:00+05:30,597.6,607.75,592,600,5918113
497,2019-11-27 00:00:00+05:30,584.95,599.4,582.75,598.1,2154255
498,2019-11-28 00:00:00+05:30,576.2,588.65,575,588,2761394
499,2019-11-29 00:00:00+05:30,571.5,583,570.2,577.5,2142174
500,2019-12-02 00:00:00+05:30,569.4,578.85,566,570,2550584
501,2019-12-03 00:00:00+05:30,584.75,586.45,571.5,572.6,4622846
